x-grades
-2704510907277584137/400000000000000000
-1319416403740721137/200000000000000000
-2573154707685300411/400000000000000000
-626869151972289637/100000000000000000
-488359701618603337/80000000000000000
-1188060204148437411/200000000000000000
-2310442308500732959/400000000000000000
-280595526088073887/50000000000000000
-2179086108908449233/400000000000000000
-211340800911230737/40000000000000000
-2047729909316165507/400000000000000000
-495512952380005911/100000000000000000
-1916373709723881781/400000000000000000
-925347804963869959/200000000000000000
-357003502026319611/80000000000000000
-26864678286491503/6250000000000000
-1653661310539314329/400000000000000000
-793991605371586233/200000000000000000
-1522305110947030603/400000000000000000
-72831350557544437/20000000000000000
-1390948911354746877/400000000000000000
-662635405779302507/200000000000000000
-1259592711762463151/400000000000000000
-149239326495790161/50000000000000000
-45129460486807177/16000000000000000
-531279206187018781/200000000000000000
-996880312577895699/400000000000000000
-232800553195438459/100000000000000000
-865524112985611973/400000000000000000
-79984601318947011/40000000000000000
-734167913393328247/400000000000000000
-41780613349824149/25000000000000000
-602811713801044521/400000000000000000
-268566807002451329/200000000000000000
-94291102841752159/80000000000000000
-101444353603154733/100000000000000000
-340099314616477069/400000000000000000
-137210607410167603/200000000000000000
-208743115024193343/400000000000000000
-3576625380701287/10000000000000000

y-grades
0
3149599/1000000
30257/8000
5511123/1000000
5888261/1000000
6299199/1000000
3169787/500000
6725999/1000000
1800441/250000
3713457/500000
475989/62500
7911297/1000000
7974231/1000000
8400981/1000000
426007/50000
4587387/500000
4644783/500000
4842371/500000
1976097/200000
4951603/500000

Dimensions > 0:
(0, 0, 2)
(0, 1, 2)
(0, 2, 2)
(0, 3, 2)
(0, 4, 2)
(0, 5, 2)
(0, 6, 2)
(0, 7, 2)
(0, 8, 2)
(0, 9, 2)
(0, 10, 2)
(0, 11, 2)
(0, 12, 2)
(0, 13, 2)
(0, 14, 2)
(0, 15, 2)
(0, 16, 2)
(0, 17, 2)
(0, 18, 2)
(0, 19, 2)

(1, 0, 4)
(1, 1, 4)
(1, 2, 4)
(1, 3, 4)
(1, 4, 4)
(1, 5, 4)
(1, 6, 4)
(1, 7, 4)
(1, 8, 4)
(1, 9, 4)
(1, 10, 4)
(1, 11, 4)
(1, 12, 4)
(1, 13, 4)
(1, 14, 4)
(1, 15, 4)
(1, 16, 4)
(1, 17, 4)
(1, 18, 4)
(1, 19, 4)

(2, 0, 4)
(2, 1, 4)
(2, 2, 4)
(2, 3, 4)
(2, 4, 4)
(2, 5, 4)
(2, 6, 4)
(2, 7, 4)
(2, 8, 4)
(2, 9, 4)
(2, 10, 4)
(2, 11, 4)
(2, 12, 4)
(2, 13, 4)
(2, 14, 4)
(2, 15, 4)
(2, 16, 4)
(2, 17, 4)
(2, 18, 4)
(2, 19, 4)

(3, 0, 8)
(3, 1, 6)
(3, 2, 6)
(3, 3, 6)
(3, 4, 6)
(3, 5, 6)
(3, 6, 6)
(3, 7, 6)
(3, 8, 6)
(3, 9, 6)
(3, 10, 6)
(3, 11, 6)
(3, 12, 6)
(3, 13, 6)
(3, 14, 6)
(3, 15, 6)
(3, 16, 6)
(3, 17, 6)
(3, 18, 6)
(3, 19, 6)

(4, 0, 12)
(4, 1, 9)
(4, 2, 9)
(4, 3, 9)
(4, 4, 9)
(4, 5, 9)
(4, 6, 9)
(4, 7, 8)
(4, 8, 8)
(4, 9, 8)
(4, 10, 8)
(4, 11, 8)
(4, 12, 8)
(4, 13, 8)
(4, 14, 8)
(4, 15, 8)
(4, 16, 8)
(4, 17, 8)
(4, 18, 8)
(4, 19, 8)

(5, 0, 18)
(5, 1, 15)
(5, 2, 15)
(5, 3, 15)
(5, 4, 15)
(5, 5, 15)
(5, 6, 15)
(5, 7, 14)
(5, 8, 14)
(5, 9, 14)
(5, 10, 14)
(5, 11, 14)
(5, 12, 14)
(5, 13, 14)
(5, 14, 14)
(5, 15, 14)
(5, 16, 14)
(5, 17, 14)
(5, 18, 14)
(5, 19, 14)

(6, 0, 24)
(6, 1, 21)
(6, 2, 21)
(6, 3, 21)
(6, 4, 21)
(6, 5, 21)
(6, 6, 21)
(6, 7, 20)
(6, 8, 20)
(6, 9, 20)
(6, 10, 20)
(6, 11, 20)
(6, 12, 20)
(6, 13, 20)
(6, 14, 20)
(6, 15, 20)
(6, 16, 20)
(6, 17, 20)
(6, 18, 20)
(6, 19, 20)

(7, 0, 29)
(7, 1, 26)
(7, 2, 26)
(7, 3, 26)
(7, 4, 26)
(7, 5, 25)
(7, 6, 25)
(7, 7, 24)
(7, 8, 24)
(7, 9, 24)
(7, 10, 24)
(7, 11, 24)
(7, 12, 24)
(7, 13, 24)
(7, 14, 24)
(7, 15, 24)
(7, 16, 24)
(7, 17, 24)
(7, 18, 24)
(7, 19, 24)

(8, 0, 39)
(8, 1, 36)
(8, 2, 36)
(8, 3, 36)
(8, 4, 36)
(8, 5, 31)
(8, 6, 31)
(8, 7, 30)
(8, 8, 30)
(8, 9, 30)
(8, 10, 29)
(8, 11, 29)
(8, 12, 29)
(8, 13, 29)
(8, 14, 29)
(8, 15, 29)
(8, 16, 29)
(8, 17, 29)
(8, 18, 29)
(8, 19, 29)

(9, 0, 42)
(9, 1, 39)
(9, 2, 39)
(9, 3, 39)
(9, 4, 39)
(9, 5, 34)
(9, 6, 34)
(9, 7, 33)
(9, 8, 33)
(9, 9, 33)
(9, 10, 32)
(9, 11, 32)
(9, 12, 32)
(9, 13, 32)
(9, 14, 32)
(9, 15, 32)
(9, 16, 32)
(9, 17, 32)
(9, 18, 32)
(9, 19, 32)

(10, 0, 48)
(10, 1, 45)
(10, 2, 45)
(10, 3, 45)
(10, 4, 45)
(10, 5, 38)
(10, 6, 38)
(10, 7, 37)
(10, 8, 37)
(10, 9, 37)
(10, 10, 36)
(10, 11, 36)
(10, 12, 36)
(10, 13, 36)
(10, 14, 36)
(10, 15, 36)
(10, 16, 36)
(10, 17, 36)
(10, 18, 36)
(10, 19, 36)

(11, 0, 54)
(11, 1, 51)
(11, 2, 51)
(11, 3, 51)
(11, 4, 51)
(11, 5, 42)
(11, 6, 42)
(11, 7, 41)
(11, 8, 41)
(11, 9, 41)
(11, 10, 40)
(11, 11, 40)
(11, 12, 40)
(11, 13, 40)
(11, 14, 40)
(11, 15, 40)
(11, 16, 40)
(11, 17, 40)
(11, 18, 40)
(11, 19, 40)

(12, 0, 57)
(12, 1, 54)
(12, 2, 54)
(12, 3, 54)
(12, 4, 54)
(12, 5, 45)
(12, 6, 44)
(12, 7, 43)
(12, 8, 43)
(12, 9, 43)
(12, 10, 42)
(12, 11, 42)
(12, 12, 42)
(12, 13, 42)
(12, 14, 42)
(12, 15, 42)
(12, 16, 42)
(12, 17, 42)
(12, 18, 42)
(12, 19, 42)

(13, 0, 62)
(13, 1, 59)
(13, 2, 59)
(13, 3, 59)
(13, 4, 59)
(13, 5, 48)
(13, 6, 47)
(13, 7, 46)
(13, 8, 46)
(13, 9, 46)
(13, 10, 45)
(13, 11, 45)
(13, 12, 45)
(13, 13, 45)
(13, 14, 45)
(13, 15, 45)
(13, 16, 45)
(13, 17, 45)
(13, 18, 45)
(13, 19, 45)

(14, 0, 68)
(14, 1, 65)
(14, 2, 65)
(14, 3, 65)
(14, 4, 65)
(14, 5, 54)
(14, 6, 53)
(14, 7, 52)
(14, 8, 52)
(14, 9, 52)
(14, 10, 51)
(14, 11, 51)
(14, 12, 51)
(14, 13, 51)
(14, 14, 51)
(14, 15, 51)
(14, 16, 51)
(14, 17, 51)
(14, 18, 51)
(14, 19, 51)

(15, 0, 74)
(15, 1, 71)
(15, 2, 71)
(15, 3, 71)
(15, 4, 71)
(15, 5, 59)
(15, 6, 58)
(15, 7, 57)
(15, 8, 57)
(15, 9, 57)
(15, 10, 56)
(15, 11, 56)
(15, 12, 56)
(15, 13, 56)
(15, 14, 56)
(15, 15, 56)
(15, 16, 56)
(15, 17, 56)
(15, 18, 56)
(15, 19, 56)

(16, 0, 82)
(16, 1, 79)
(16, 2, 79)
(16, 3, 79)
(16, 4, 79)
(16, 5, 66)
(16, 6, 65)
(16, 7, 64)
(16, 8, 64)
(16, 9, 64)
(16, 10, 63)
